text,label
Could you please provide support for the new integrations? I’m having difficulty.,technical_issue
I am really frustrated because the data isn’t syncing correctly between devices.,technical_issue
I feel frustrated that the support chat is always busy. How can I get assistance faster?,technical_issue
I would like to know if there are any upcoming changes to the pricing for my plan.,billing
I'm really disappointed that there isn't a mobile app. It would make things so much easier for us on the go.,feature_request
Please consider adding a feature for schedule conflicts; it would greatly assist in project planning.,feature_request
It would be so helpful if you could implement an integration with our time tracking tool. It would save us a lot of manual work!,feature_request
Can someone explain how to add new users to my account?,technical_issue
Is it possible to add more reporting options for user activity? We need to ensure accountability within our team.,feature_request
It’s taking way too long to load reports; is this common?,other
Could you please add a feature that allows exporting data to PDF? It would be greatly beneficial for our presentations.,feature_request
I’m unhappy with the frequency of errors I’m encountering; it’s becoming a serious issue for my team.,complaint
My team is experiencing issues with the collaboration tools. What’s going on?,technical_issue
I can’t find where to change my notification preferences. It's hard to stay updated!,technical_issue
The app keeps freezing when I’m in a meeting. This is very disruptive!,technical_issue
I need clarification on your refund policy as I’m considering canceling my subscription.,technical_issue
I’m unhappy with how my billing issue has been handled; can you expedite my request?,billing
"I appreciate your support, but I’ve been waiting for my refund longer than expected.",billing
I’m quite frustrated with the lack of customization options for the user dashboard; it would improve usability.,feature_request
The dashboard isn’t displaying the correct metrics. Can someone investigate this?,technical_issue
I am confused about the new layout. Where did all the settings go?,technical_issue
I’m having issues with the onboarding webinar; I can’t seem to join.,other
Can we have the ability to attach files to comments? It would improve our documentation processes.,feature_request
I’m having an issue with the software crashing during file uploads. This is very inconvenient!,technical_issue
Please consider adding a feature to import tasks from spreadsheets; it would help us transition more smoothly.,feature_request
I’m not sure how to use the new chat feature; can someone explain?,other
Is there a way to access previous versions of my documents? I need to revert some changes.,technical_issue
I tried to cancel my subscription but I’m unsure if it went through.,other
Could you assist me with understanding the payment terms for my current subscription plan?,billing
"I’m having serious issues with the email notifications; they haven’t been coming through, and I’m missing crucial updates.",complaint
I’m quite frustrated that the interface is not user-friendly; a redesign could greatly enhance the user experience.,feature_request
I’m not satisfied with the resolution to my last ticket; it didn’t address my main concerns.,complaint
I wish there was a setting to automate reminders for upcoming deadlines. It would help keep our team on track.,feature_request
I don’t remember authorizing an automatic renewal; could you check my account?,billing
I’m frustrated that my application for a refund hasn’t been addressed yet.,billing
Can you explain how the referral program works? I’m interested in sharing it with friends.,other
I’ve experienced several crashes since the last update; this is highly frustrating and needs to be fixed.,complaint
Having more visual aids like graphs for task completion would enhance our understanding of progress.,feature_request
Why has there been an increase in my subscription fees? I wasn’t notified about this change.,billing
Could you help me track down a refund that was supposed to be processed last month?,billing
I’d like to know the process for disputing a charge; I believe there’s been a mistake.,billing
Can you help me reset my password? I keep getting an error message.,technical_issue
"I’m quite upset that I have not received any support regarding my ticket, despite following up multiple times.",complaint
I just noticed a charge on my credit card that I did not authorize. Please investigate this.,billing
I need guidance on how to better utilize the software for my specific needs.,technical_issue
Is there a way to get alerts for account changes without logging in?,other
I need help with the integration settings; they don’t seem to work with my current setup.,technical_issue
Having a dark mode would really be a game-changer for me. It’s tough to work long hours without it!,feature_request
I’m having issues with the software update; can someone assist?,other
I’m really unhappy with how long it’s taking to resolve my billing issue. Can someone expedite this?,billing
"I appreciate your help, but I need more information about the fees associated with my plan.",billing
Is there a way to get a demo account before committing to a plan?,other
Can you add a feature that allows us to tag and categorize clients? It would help in organizing our projects better.,feature_request
I feel like I’m not getting enough clarity on my technical issue; can someone help?,technical_issue
Could you clarify the payment processing timeline? I’m a bit confused.,other
Can someone help me with the recurring error messages I’m getting? This is incredibly frustrating.,complaint
I’m frustrated that I can't find any information regarding my billing on the website.,billing
I’m confused about how to navigate the new feature set. Can someone assist me?,technical_issue
I’m unhappy with the frequency of bugs in the software; this has been problematic for our team.,complaint
I need assistance in understanding the recent adjustments made to my account.,billing
"I am having trouble logging into my account, could you please assist me?",technical_issue
"I appreciate the updates, but they seem to have introduced even more bugs; this is really disappointing.",complaint
"I appreciate the service, but I don't understand why I was charged an extra fee this month.",billing
I need some help with the integration process; it’s been more complex than what was initially described.,complaint
I’m having trouble finding the collaboration tools; can someone help me locate them?,other
Please consider adding a feature to track changes on shared documents. It would enhance our collaborative efforts.,feature_request
Could you add a feature for linking related tasks? It would improve our project management significantly.,feature_request
Could you assist me in understanding the billing for my multi-user plan? I have some questions.,billing
I’m frustrated that the app doesn’t have a dark mode; it would be helpful.,other
I would like to speak with a billing specialist to clarify some charges on my account.,billing
I am writing to express my frustration with the recent update; it has caused several features I rely on to malfunction.,complaint
Can you help me understand the recent update? Some features are confusing me.,technical_issue
"I need to cancel my subscription, but I'm not sure how; can you guide me through the process?",billing
Is there a way to recover deleted files? I accidentally removed something important.,technical_issue
I would like to request the ability to customize the dashboard widgets according to my team's specific needs.,feature_request
I thought my free trial would last longer; could you confirm when it ends?,billing
I’d like to complain about the lack of updates regarding the issues we’ve reported; it’s quite distressing.,complaint
I have a question about the billing policy; why do I need to update my payment method so often?,billing
I noticed a fee I wasn’t aware of; could you clarify its purpose?,billing
I’m having a hard time understanding how to configure my settings. Can you assist?,technical_issue
Can you help me troubleshoot my connection issues? It’s been difficult to use the platform.,technical_issue
I’m very confused about my recent bill; it seems much higher than my usual charges.,billing
"I was promised a discount, but it doesn’t appear on my latest bill. Can you assist with this?",billing
I keep receiving notifications for tasks I’ve already completed. Can this be fixed?,technical_issue
I’m unhappy about the new limits placed on my account; it feels restrictive and unexpected.,complaint
Can you help me understand why I’m getting so many error messages lately?,technical_issue
"I was told my payment was successful, but my account still shows unpaid. What’s going on?",billing
Could you please provide assistance regarding my recent billing issues? I’m still waiting for a resolution.,complaint
I would like to know why my last support ticket hasn’t been addressed yet. It’s been days.,technical_issue
Could someone assist me with understanding the analytics dashboard?,other
I want to complain about the recent changes to my account limits; they’ve affected our usage significantly.,complaint
Can I receive a detailed statement of all charges for this year? I need it for my records.,billing
I’m worried about my data security; can you reassure me?,other
I’m having difficulty understanding the new billing system; can someone explain how it works?,billing
It would be helpful if we could assign multiple users to a single task. Collaboration is key to our success!,feature_request
Why do I see charges for features I never used or activated? This is concerning.,billing
Could you provide a detailed report of my charges over the last three months? I’m really concerned.,billing
I'm a bit lost on how to use the reporting feature. Can you provide a video tutorial? A more intuitive interface would be fantastic.,feature_request
Could someone assist me with understanding how to use the new analytics feature?,technical_issue
I would like to know if my trial period has ended; I was under the impression it would last longer.,billing
